STNNBR,CSTNO,POS,BTLSER,F,TIME,CTDPRS,CTDDEP,CTDTMP,CTDSAL,THETA,SIGTHT,DOSTTMP,F_1,CTDOXY,F_2,SALNTY,F_3,OXYGEN,F_4,PHSPHT,F_5,NO2+NO3,F_6,NITRIT,F_7,SILCAT,F_8,PH,F_9,PH_TMP,PH_SCL,CHLORA,F_10,PPHYTN,F_11,TCARBN,F_12,ALKALI,F_13
Unnamed: 0,     ,   ,         , , JST,     DBAR,METERS,   ITS-90,   PSS-78,   ITS-90.1,    KG/M3,   ITS-90.2, .1,  UMOL/KG, .2,   PSS-78.1, .3,  UMOL/KG.1, .4,  UMOL/KG.2, .5,  UMOL/KG.3, .6,  UMOL/KG.4, .7,  UMOL/KG.5, .8,         .1, .9, ITS-90,      ,     UG/L, .10,     UG/L.1, .11,  UMOL/KG.6, .12,  UMOL/KG.7,Unnamed: 39
 KS-5422,1,9, 02-25243,2,914,706.1,700.0,7.6818,34.3459,7.6103,26.8173,7.682,2,107.3,2,34.3451,2,106.7,2,2.12,2,29.49,2,0.0,2,68.31,2,7.5733,2,25,    TS,-999.0,9,-999.0,9,2238.1,6,2320.8,6
 KS-5422,1,8, 02-25242,2,911,808.3,801.0,6.8924,34.3454,6.8148,26.9284,6.8926,2,99.1,2,34.3444,6,99.01,2,2.26,2,31.5,2,0.0,2,76.44,2,7.5414,6,25,    TS,-999.0,9,-999.0,9,2253.6,2,2330.9,2
 KS-5422,1,7, 02-25241,2,906,909.4,901.0,6.3724,34.349,6.288,27.0013,6.3726,2,93.9,2,34.348,6,93.56,2,2.36,2,32.8,2,0.0,2,82.5,2,7.5241,2,25,    TS,-999.0,9,-999.0,9,2266.7,2,2336.4,2
 KS-5422,1,5, 02-25239,2,858,1013.1,1004.0,6.0662,34.356,5.9738,27.0471,6.0665,2,91.5,2,34.3537,2,91.93,2,2.41,2,33.56,2,0.0,2,86.48,2,7.514,2,25,    TS,-999.0,9,-999.0,9,2276.2,2,2340.6,2
 KS-5422,1,6, 02-25240,2,858,1013.3,1004.0,6.0655,34.356,5.9731,27.0472,6.0661,2,91.5,2,34.3546,2,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5422,1,4, 02-25238,2,857,1027.7,1018.0,6.0635,34.3559,5.9696,27.0475,6.0644,2,91.5,2,34.3552,2,91.17,2,2.41,2,33.57,2,0.0,2,86.55,2,7.5172,2,25,    TS,-999.0,9,-999.0,9,2277.1,2,2340.9,2
 KS-5632,1,-9,       -9,0,1535,0.0,10.0,28.7141,34.3849,28.7135,21.6976,-999.0,9,198.5,2,-999.0,9,198.96,2,0.02,2,0.09,3,0.0,2,1.5,2,,2,,,0.1,2,0.04,,,,,
 KS-5632,1,36, 02-25256,2,1559,10.4,10.0,28.6109,34.3732,28.6084,21.7236,28.6151,2,198.9,2,34.3742,6,198.78,2,0.01,2,0.0,3,0.0,2,1.46,2,,2,,,0.11,2,0.04,,,,,
 KS-5632,1,35, 02-25820,2,1558,20.8,21.0,28.4828,34.3555,28.4779,21.7534,28.4837,2,199.3,2,34.3551,2,199.17,6,0.01,6,0.03,3,0.0,6,1.49,6,,2,,,0.13,2,0.05,,,,,
 KS-5632,1,34, 02-24269,2,1557,31.3,31.0,28.3805,34.3651,28.3731,21.7951,28.3782,2,200.3,2,-999.0,9,200.0,2,0.01,2,0.1,3,0.0,2,1.5,2,,2,,,0.15,2,0.05,,,,,
