STNNBR,CSTNO,POS,BTLSER,F,TIME,CTDPRS,CTDDEP,CTDTMP,CTDSAL,THETA,SIGTHT,DOSTTMP,F_1,CTDOXY,F_2,SALNTY,F_3,OXYGEN,F_4,PHSPHT,F_5,NO2+NO3,F_6,NITRIT,F_7,SILCAT,F_8,PH,F_9,PH_TMP,PH_SCL,CHLORA,F_10,PPHYTN,F_11,TCARBN,F_12,ALKALI,F_13
Unnamed: 0,     ,   ,         , , JST,     DBAR,METERS,   ITS-90,   PSS-78,   ITS-90.1,    KG/M3,   ITS-90.2, .1,  UMOL/KG, .2,   PSS-78.1, .3,  UMOL/KG.1, .4,  UMOL/KG.2, .5,  UMOL/KG.3, .6,  UMOL/KG.4, .7,  UMOL/KG.5, .8,         .1, .9, ITS-90,      ,     UG/L, .10,     UG/L.1, .11,  UMOL/KG.6, .12,  UMOL/KG.7,Unnamed: 39
 KS-5639,1,12, 02-25244,2,707,402.6,400.0,15.3838,34.6119,15.3216,25.6018,15.377,2,185.2,2,-999.0,9,185.45,6,0.65,6,9.17,3,0.01,6,10.49,6,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,10, 02-25237,3,704,505.6,502.0,12.4391,34.4044,12.3712,26.0552,12.4316,2,166.9,2,34.406,2,167.6,2,1.11,2,15.51,3,0.0,2,21.9,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,11, 02-25819,3,704,505.7,502.0,12.3956,34.4021,12.3278,26.0618,12.397,2,167.1,2,34.4027,2,166.96,2,1.12,2,15.71,3,0.01,2,22.12,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,9, 02-25249,2,701,603.1,598.0,9.6577,34.2819,9.5884,26.4602,9.6591,2,141.2,2,-999.0,9,141.88,2,1.65,2,22.83,3,0.01,2,40.62,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,8, 02-24272,2,658,703.8,698.0,7.0992,34.32,7.0311,26.8788,7.097,2,101.9,2,34.3199,2,102.25,2,2.23,2,30.79,3,0.0,2,72.18,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,7, 02-23518,2,656,806.4,799.0,5.682,34.3426,5.612,27.0814,5.682,2,86.1,2,34.3426,2,86.16,2,2.5,2,34.62,3,0.0,2,90.06,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,3, 02-25235,2,653,905.9,898.0,4.6398,34.3909,4.5676,27.241,4.6399,2,77.7,2,34.3866,4,77.94,2,2.67,2,37.11,3,0.0,2,106.08,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,2, 02-25238,2,652,906.0,898.0,4.644,34.3909,4.5718,27.2406,4.6445,2,77.7,2,34.3896,2,77.98,2,2.67,2,37.12,3,0.0,2,106.33,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5641,1,-9,       -9,0,1015,0.0,9.0,26.2695,34.3092,26.2689,22.4283,-999.0,9,205.0,2,34.2962,2,204.83,2,0.02,2,0.0,3,0.0,2,1.34,2,8.0889,2,25,    TS,0.12,2,0.05,2,1946.6,2,2253.4,2
 KS-5641,1,36, 02-25256,2,1038,9.1,9.0,26.1375,34.3252,26.1354,22.4822,26.1398,2,205.1,2,34.3255,2,205.32,2,0.0,2,0.04,3,0.0,2,1.34,2,8.0873,2,25,    TS,0.12,2,0.05,2,1946.7,2,2255.6,2
 KS-5641,1,35, 02-25820,2,1037,19.3,19.0,26.1143,34.3515,26.11,22.5099,26.1165,2,205.5,2,-999.0,9,205.52,2,0.0,2,0.09,3,0.0,2,1.33,2,8.0848,2,25,    TS,0.13,2,0.06,2,1948.4,2,2257.1,2
 KS-5641,1,34, 02-24269,2,1036,29.7,30.0,25.882,34.4425,25.8755,22.6514,25.8834,2,207.4,2,34.507,4,208.53,2,0.0,2,0.15,3,0.0,2,1.38,2,8.0889,2,25,    TS,0.15,2,0.08,2,1962.7,2,2268.7,2
 KS-5641,1,32, 02-25246,2,1033,49.3,49.0,24.1716,34.7774,24.1612,23.4251,24.1751,2,211.9,2,-999.0,9,212.08,2,0.01,2,0.13,3,0.0,2,1.5,2,8.0716,2,25,    TS,0.27,2,0.24,2,1982.2,2,2286.3,2
 KS-5641,1,31, 02-25810,2,1032,72.9,72.0,22.925,34.8199,22.9101,23.8228,22.9302,2,211.5,2,-999.0,9,210.5,2,0.03,2,0.31,3,0.07,2,1.62,2,8.051,2,25,    TS,0.19,2,0.27,2,1994.3,2,2288.3,2
 KS-5641,1,26, 02-25824,2,1030,105.2,104.0,21.9572,34.8545,21.9365,24.125,21.958,2,200.8,2,34.8522,2,200.86,2,0.09,2,1.18,3,0.12,2,2.0,2,8.0259,2,25,    TS,0.1,2,0.24,2,2009.7,2,2290.9,2
 KS-5641,1,25, 02-24271,2,1029,128.5,128.0,21.574,34.8697,21.5489,24.2443,21.5692,2,197.8,2,-999.0,9,197.65,2,0.12,2,1.52,3,0.05,2,2.08,2,8.0188,2,25,    TS,0.06,2,0.18,2,2016.1,2,2290.5,2
 KS-5641,1,21, 02-25245,3,1028,150.3,149.0,20.9555,34.9102,20.9268,24.4455,20.9553,2,190.6,2,-999.0,9,191.19,2,0.18,2,2.34,3,0.02,2,2.46,2,7.9914,2,25,    TS,0.03,2,0.07,2,2030.8,2,2292.9,2
 KS-5641,1,20, 02-25813,2,1026,199.5,198.0,19.4751,34.8777,19.4389,24.815,19.4716,2,192.4,2,34.8766,2,192.38,2,0.25,2,3.6,3,0.01,2,3.37,2,7.9708,2,25,    TS,0.01,2,0.02,2,2041.7,6,2291.3,6
 KS-5641,1,19, 02-25239,2,1025,247.4,246.0,18.478,34.8379,18.4348,25.04,18.4782,2,192.2,2,-999.0,9,191.58,2,0.32,2,4.66,3,0.01,2,4.32,2,7.9528,6,25,    TS,-999.0,9,-999.0,9,2052.8,2,2288.6,2
 KS-5641,1,18, 02-25814,2,1023,304.4,302.0,17.0166,34.7468,16.9663,25.3279,17.0204,2,193.5,2,34.7472,2,193.28,6,0.43,6,6.25,3,0.0,6,6.04,6,7.9181,2,25,    TS,-999.0,9,-999.0,9,2061.7,2,2283.4,2
 KS-5641,1,16, 02-24474,2,1020,401.9,399.0,14.3988,34.5287,14.3394,25.7512,14.3995,2,180.0,2,34.5268,2,179.9,2,0.8,2,11.36,3,0.0,2,13.15,2,7.8396,2,25,    TS,-999.0,9,-999.0,9,2097.2,2,2279.2,2
 KS-5641,1,17, 02-24268,2,1020,402.1,399.0,14.3951,34.5285,14.3357,25.7518,14.395,2,179.9,2,34.5264,2,179.68,2,0.8,2,11.36,3,0.0,2,13.2,2,7.8409,2,25,    TS,-999.0,9,-999.0,9,2098.2,2,2278.5,2
 KS-5641,1,12, 02-25244,3,1018,500.9,497.0,12.2589,34.381,12.1922,26.0715,12.2625,2,165.5,2,-999.0,9,165.0,6,1.17,6,16.35,3,0.0,6,22.04,6,7.7586,2,25,    TS,-999.0,9,-999.0,9,2127.9,2,2278.9,2
 KS-5641,1,10, 02-25237,2,1015,603.6,599.0,9.2152,34.2335,9.1478,26.4943,9.213,2,142.1,2,34.2341,2,141.87,2,1.7,2,23.78,3,0.0,2,41.77,2,7.6463,2,25,    TS,-999.0,9,-999.0,9,2182.4,2,2287.1,2
 KS-5641,1,11, 02-25819,2,1015,604.4,600.0,9.2103,34.2337,9.1428,26.4952,9.2102,2,142.1,2,34.2337,2,141.86,2,1.7,2,23.78,3,0.0,2,41.71,2,7.6514,2,25,    TS,-999.0,9,-999.0,9,2183.8,2,2285.7,2
 KS-5641,1,9, 02-25249,2,1012,708.5,703.0,7.2791,34.3159,7.2096,26.8507,7.281,2,105.0,2,34.3153,2,104.76,2,2.18,2,30.41,3,0.0,2,70.14,2,7.559,2,25,    TS,-999.0,9,-999.0,9,2246.0,6,2317.2,6
 KS-5641,1,8, 02-24272,2,1009,807.3,800.0,6.8026,34.3244,6.7257,26.924,6.8028,2,99.0,2,34.325,2,99.13,2,2.28,2,31.79,3,0.0,2,76.54,2,7.5375,6,25,    TS,-999.0,9,-999.0,9,2260.1,2,2325.0,2
 KS-5641,1,7, 02-23518,2,1006,905.8,898.0,6.2615,34.3328,6.1783,27.0027,6.2617,2,93.1,2,34.3333,6,93.09,2,2.39,2,33.3,3,0.0,2,83.42,2,7.5185,2,25,    TS,-999.0,9,-999.0,9,2272.1,2,2332.0,2
 KS-5641,1,4, 02-23679,2,1003,1011.2,1002.0,5.874,34.3431,5.7833,27.0607,5.8655,2,88.8,2,34.3437,2,88.91,2,2.46,2,34.41,3,0.0,2,88.31,2,7.5083,2,25,    TS,-999.0,9,-999.0,9,2281.0,2,2338.7,2
 KS-5641,1,6, 02-24471,2,1003,1011.6,1002.0,5.9029,34.3433,5.812,27.0573,5.8992,2,89.2,2,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 RF-6671,1,-9,       -9,0,1010,0.0,10.0,25.9885,33.12,25.9879,21.6195,-999.0,9,210.2,2,33.1178,2,210.29,2,0.02,2,0.02,2,0.0,2,2.83,2,8.066,2,25,    TS,0.19,2,0.04,2,1940.3,2,2226.4,2
 RF-6671,1,35, 02-25088,2,1019,9.8,10.0,25.9912,33.1196,25.989,21.6188,25.9884,2,210.2,2,-999.0,9,210.46,2,0.01,2,0.09,2,0.0,2,2.83,2,-999.0,9,-999,  -999,0.19,2,0.04,2,-999.0,9,-999.0,9
 RF-6671,1,34, 02-25843,2,1018,20.5,20.0,25.2195,33.7922,25.215,22.3635,25.2204,2,214.3,2,-999.0,9,214.1,2,0.01,2,0.0,2,0.0,2,2.22,2,-999.0,9,-999,  -999,0.17,2,0.08,2,-999.0,9,-999.0,9
 RF-6671,1,33, 02-25842,2,1016,30.2,30.0,24.5127,34.3052,24.5063,22.9649,24.5125,2,216.6,2,-999.0,9,216.69,2,0.03,2,0.0,2,0.0,2,1.88,2,-999.0,9,-999,  -999,0.18,2,0.09,2,-999.0,9,-999.0,9
 RF-6671,1,32, 02-25841,2,1014,49.5,49.0,22.6777,34.5399,22.6678,23.6798,22.6731,2,215.2,2,-999.0,9,215.59,2,0.07,2,0.0,2,0.01,2,2.57,2,-999.0,9,-999,  -999,0.26,2,0.16,2,-999.0,9,-999.0,9
 RF-6671,1,17, 02-25089,2,1012,75.4,75.0,20.3969,34.647,20.3829,24.3911,20.4063,2,178.9,2,-999.0,9,179.16,6,0.41,6,5.44,6,0.09,6,7.46,6,-999.0,9,-999,  -999,0.25,2,0.28,2,-999.0,9,-999.0,9
 RF-6671,1,16, 02-26328,3,1010,100.6,100.0,18.9248,34.6922,18.907,24.8096,18.9244,2,165.5,2,-999.0,9,165.77,2,0.58,2,7.78,2,0.03,2,11.84,2,-999.0,9,-999,  -999,0.13,2,0.17,2,-999.0,9,-999.0,9
 RF-6671,1,15, 02-25822,2,1009,113.8,113.0,18.8078,34.688,18.7877,24.8366,18.8079,2,164.4,2,-999.0,9,164.95,2,0.59,2,7.96,2,0.03,2,12.18,2,-999.0,9,-999,  -999,0.1,2,0.14,2,-999.0,9,-999.0,9
 RF-6671,1,14, 02-26326,2,1008,114.2,113.0,18.8009,34.6883,18.7807,24.8386,18.8081,2,164.5,2,-999.0,9,167.28,2,0.59,2,7.92,2,0.03,2,12.14,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 RF-6673,1,-9,       -9,0,1225,0.0,10.0,26.5581,33.608,26.5576,21.8095,-999.0,9,207.1,2,,2,207.4,2,0.03,2,0.0,2,0.0,2,2.39,2,,2,,,0.26,,0.09,,,,,
 RF-6673,1,36, 02-25090,2,1240,10.4,10.0,26.5601,33.6185,26.5577,21.8173,26.562,2,207.4,2,,2,207.45,2,0.02,2,0.0,2,0.0,2,2.35,2,,2,,,0.26,,0.08,,,,,
 RF-6673,1,35, 02-25088,2,1238,20.4,20.0,27.0122,34.3761,27.0075,22.2455,27.0059,2,204.9,2,,2,205.12,2,0.03,2,0.0,2,0.0,2,1.69,2,,2,,,0.23,,0.11,,,,,
 RF-6673,1,34, 02-25843,2,1236,29.7,29.0,26.732,34.4488,26.7252,22.3899,26.6963,2,205.0,2,,2,206.9,2,0.05,2,0.04,2,0.0,2,1.76,2,,2,,,0.28,,0.14,,,,,
 RF-6673,1,33, 02-25842,2,1234,50.5,50.0,24.4961,34.5402,24.4853,23.1489,24.5328,2,212.3,2,,2,211.42,2,0.06,2,0.08,2,0.0,2,2.24,2,,2,,,0.44,,0.26,,,,,
 RF-6673,1,24, 02-25248,2,1232,75.8,75.0,22.4849,34.6221,22.4697,23.7985,22.4835,2,194.8,2,,2,194.93,2,0.2,2,2.09,2,0.71,2,3.98,2,,2,,,0.35,,0.43,,,,,
 RF-6673,1,23, 02-25832,2,1230,101.2,100.0,20.7608,34.7093,20.7417,24.3425,20.769,2,181.5,2,,2,178.57,2,0.41,2,5.49,2,0.08,2,7.52,2,,2,,,0.12,,0.23,,,,,
 RF-6673,1,22, 02-25831,3,1228,126.4,126.0,17.6386,34.6826,17.6173,25.1225,17.6341,2,170.9,2,,6,171.18,6,0.62,6,8.64,6,0.02,6,12.15,2,,2,,,0.05,,0.1,,,,,
 RF-6673,1,11, 02-26323,2,1226,143.7,143.0,14.6435,34.5527,14.6222,25.7092,14.6866,2,169.2,2,,2,169.05,2,0.88,2,12.47,2,0.02,2,17.84,9,,9,,,-999.0,,-999.0,,,,,
 RF-6673,1,10, 02-26322,2,1225,143.7,143.0,14.6413,34.5545,14.62,25.711,14.6747,2,169.5,2,,2,169.04,2,0.87,2,12.22,2,0.02,2,17.71,2,,2,,,0.01,,0.06,,,,,
 RF-6675,1,-9,       -9,0,1455,0.0,10.0,28.0438,34.2826,28.0432,21.8411,-999.0,9,201.9,2,-999.0,9,201.93,2,0.09,2,0.08,2,0.0,2,1.68,2,,2,,,0.28,2,0.08,,,,,
 RF-6675,1,36, 02-25090,2,1524,10.1,10.0,28.0463,34.2824,28.044,21.8408,28.0418,2,201.8,2,34.2827,2,202.51,2,0.03,2,0.09,2,0.0,2,1.62,2,,2,,,0.28,2,0.06,,,,,
 RF-6675,1,35, 02-25088,2,1523,19.9,20.0,27.9729,34.2968,27.9682,21.8763,27.9685,2,202.6,2,-999.0,9,202.74,2,0.02,2,0.02,2,0.0,2,1.64,2,,2,,,0.35,2,0.1,,,,,
 RF-6675,1,34, 02-25843,2,1521,31.5,31.0,27.3039,34.3388,27.2967,22.125,27.3254,2,206.4,2,-999.0,9,206.38,2,0.03,2,0.0,2,0.0,2,1.73,2,,2,,,0.35,2,0.13,,,,,
 RF-6675,1,27, 02-24661,2,1519,50.9,51.0,26.0817,34.4655,26.0704,22.6082,26.0809,2,207.4,2,34.464,2,207.4,2,0.04,2,0.0,2,0.0,2,1.95,2,,2,,,0.43,2,0.22,,,,,
 RF-6675,1,26, 02-25835,2,1517,76.4,76.0,24.0098,34.4252,23.9938,23.2081,24.0459,2,213.2,2,-999.0,9,207.93,2,0.09,2,0.63,2,0.27,2,2.71,2,,2,,,0.32,2,0.27,,,,,
 RF-6675,1,25, 02-25834,2,1515,101.1,100.0,22.4802,34.6719,22.4599,23.8391,22.473,2,183.5,2,34.6699,2,183.81,2,0.28,2,3.42,2,0.36,2,5.12,2,,2,,,0.16,2,0.27,,,,,
 RF-6675,1,18, 02-24660,2,1512,125.4,125.0,21.0349,34.8009,21.0109,24.3394,21.0292,2,181.1,2,-999.0,9,180.87,2,0.31,2,3.96,2,0.08,2,4.89,2,,2,,,0.05,2,0.15,,,,,
 RF-6675,1,17, 02-25089,2,1511,151.7,151.0,19.4966,34.7257,19.4691,24.691,19.4905,2,177.5,2,34.7262,6,177.15,2,0.44,2,6.04,2,0.04,2,7.71,2,,2,,,0.08,2,0.16,,,,,
 RF-6675,1,16, 02-26328,2,1507,202.8,201.0,13.2633,34.4819,13.2352,25.9442,13.2676,2,163.3,2,-999.0,9,162.69,6,1.08,6,15.08,6,0.05,6,23.17,6,,2,,,0.0,2,0.04,,,,,
 RF-6675,1,9, 02-25247,3,1504,251.2,249.0,11.6215,34.3924,11.5895,26.1943,11.6198,2,154.0,2,34.391,2,153.6,2,1.33,2,18.52,2,0.03,2,30.32,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6675,1,8, 02-26320,3,1503,252.2,250.0,11.614,34.392,11.5819,26.1955,11.6136,2,154.0,2,34.3913,2,153.42,2,1.33,2,18.57,2,0.03,2,30.41,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6675,1,7, 02-26319,2,1502,267.1,265.0,11.5716,34.3905,11.5377,26.2026,11.5726,2,153.4,2,34.3893,2,152.86,2,1.34,2,18.77,2,0.03,2,30.73,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,-9,       -9,0,1828,0.0,11.0,28.2029,34.4093,28.2023,21.8844,-999.0,9,201.5,2,-999.0,9,201.15,2,0.05,2,0.14,2,0.0,2,1.71,2,,2,,,0.18,2,0.05,,,,,
 RF-6677,1,36, 02-25090,2,1909,10.8,11.0,28.204,34.4101,28.2014,21.8853,28.2014,2,201.5,2,34.409,2,201.72,2,0.03,2,0.07,2,0.0,2,1.67,2,,2,,,0.16,2,0.06,,,,,
 RF-6677,1,35, 02-25088,2,1907,20.4,20.0,28.1974,34.4109,28.1926,21.8887,28.196,2,201.8,2,-999.0,9,201.87,2,0.03,2,0.08,2,0.0,2,1.69,2,,2,,,0.17,2,0.06,,,,,
 RF-6677,1,34, 02-25843,2,1906,30.4,30.0,28.0904,34.4404,28.0832,21.9467,28.0897,2,202.9,2,-999.0,9,202.61,2,0.03,2,0.02,2,0.0,2,1.62,2,,2,,,0.17,2,0.07,,,,,
 RF-6677,1,33, 02-25842,2,1902,51.0,51.0,27.0438,34.5786,27.0321,22.3901,27.04,2,202.3,2,34.5795,2,202.22,2,0.04,2,0.0,2,0.0,2,1.62,2,,2,,,0.25,2,0.18,,,,,
 RF-6677,1,27, 02-24661,2,1901,76.0,75.0,25.2369,34.6862,25.2204,23.037,25.2299,2,192.3,2,-999.0,9,191.72,2,0.11,2,0.95,2,0.24,2,2.25,2,,2,,,0.29,2,0.41,,,,,
 RF-6677,1,26, 02-25835,2,1859,100.4,100.0,23.9883,34.8102,23.9672,23.5074,23.9863,2,187.5,2,34.8098,2,187.01,2,0.16,2,1.52,2,0.18,2,2.47,2,,2,,,0.11,2,0.25,,,,,
 RF-6677,1,25, 02-25834,2,1857,128.7,128.0,21.6842,34.8574,21.659,24.2045,21.6726,2,185.1,2,-999.0,9,184.86,6,0.22,6,2.55,6,0.04,6,3.12,6,,2,,,0.05,2,0.15,,,,,
 RF-6677,1,22, 02-25831,3,1856,151.2,150.0,20.4835,34.7972,20.4552,24.4863,20.4818,2,180.5,2,34.7981,2,180.16,2,0.36,2,4.49,2,0.06,2,5.5,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,21, 02-25830,2,1856,151.5,150.0,20.4842,34.7968,20.4558,24.4859,20.4823,2,180.4,2,34.7969,2,180.25,2,0.36,2,4.6,2,0.06,2,5.65,2,,2,,,0.05,2,0.14,,,,,
 RF-6677,1,20, 02-25829,2,1854,197.4,196.0,19.2973,34.8446,19.2618,24.8354,19.2938,2,187.5,2,-999.0,9,186.63,2,0.33,2,4.34,2,0.01,2,4.17,2,,2,,,0.01,2,0.05,,,,,
 RF-6677,1,19, 02-25828,2,1852,251.8,250.0,17.324,34.7625,17.2819,25.2647,17.3263,2,194.6,2,34.7592,2,194.34,2,0.42,2,5.93,2,0.01,2,5.39,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,18, 02-24660,2,1849,304.8,303.0,15.7707,34.6431,15.7229,25.5359,15.7767,2,191.4,2,-999.0,9,191.0,2,0.58,2,8.38,2,0.0,2,8.22,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,17, 02-25089,2,1847,403.1,400.0,12.2291,34.4205,12.1757,26.1054,12.2263,2,160.0,2,34.4172,2,158.8,2,1.25,2,17.12,2,0.01,2,27.18,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,16, 02-26328,2,1844,507.2,503.0,8.3586,34.2954,8.3054,26.6745,8.358,2,119.6,2,34.2942,2,119.41,2,1.97,2,27.3,2,0.0,2,55.3,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,9, 02-25247,2,1840,603.5,599.0,6.8126,34.3147,6.7559,26.9122,6.8119,2,100.3,2,-999.0,9,99.86,2,2.29,2,31.63,2,0.0,2,74.29,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,8, 02-26320,3,1837,702.2,696.0,6.0455,34.3389,5.9831,27.0324,6.0442,2,90.4,2,34.3384,6,90.6,2,2.45,2,33.78,2,0.0,2,85.06,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,7, 02-26319,2,1835,811.9,805.0,5.4954,34.3656,5.4259,27.1222,5.4955,2,84.1,2,-999.0,9,84.45,6,2.55,6,35.07,6,0.0,6,94.12,6,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,2, 02-26314,2,1831,909.2,901.0,5.121,34.3809,5.0452,27.1792,5.121,2,80.7,2,34.3803,2,80.3,2,2.61,2,35.84,2,0.0,2,100.01,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,3, 02-26315,2,1832,909.7,902.0,5.1195,34.381,5.0436,27.1794,5.1201,2,80.7,2,34.3818,2,80.72,2,2.6,2,35.98,2,0.0,2,99.62,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6677,1,1, 02-26313,3,1829,970.2,961.0,4.8655,34.3934,4.786,27.2187,4.8674,2,78.2,2,34.393,2,78.83,2,2.64,2,36.27,2,0.01,2,103.71,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,-9,       -9,0,2255,0.0,11.0,28.6969,34.2636,28.6962,21.6122,-999.0,9,198.1,2,-999.0,9,198.67,2,0.04,2,0.04,2,0.0,2,1.53,2,,2,,,0.12,2,0.03,,,,,
 RF-6679,1,36, 02-25090,2,2323,10.8,11.0,28.7041,34.2642,28.7015,21.6109,28.699,2,198.1,2,34.2627,2,199.0,2,0.03,2,0.08,2,0.0,2,1.48,2,,2,,,0.16,2,0.04,,,,,
 RF-6679,1,35, 02-25088,2,2321,20.8,21.0,28.7004,34.2627,28.6954,21.6118,28.6976,2,198.1,2,-999.0,9,198.9,2,0.03,2,0.06,2,0.0,2,1.45,2,,2,,,0.13,2,0.04,,,,,
 RF-6679,1,34, 02-25843,2,2319,31.9,32.0,28.1609,34.4383,28.1534,21.9221,28.1651,2,201.5,2,-999.0,9,202.13,2,0.03,2,0.0,2,0.0,2,1.46,2,,2,,,0.12,2,0.05,,,,,
 RF-6679,1,33, 02-25842,2,2315,52.1,52.0,26.9153,34.57,26.9034,22.4247,26.913,2,203.4,2,34.5713,2,203.69,2,0.04,2,0.01,2,0.0,2,1.57,2,,2,,,0.14,2,0.07,,,,,
 RF-6679,1,32, 02-25841,2,2313,75.6,75.0,25.1407,34.6962,25.1242,23.0739,25.1425,2,211.3,2,-999.0,9,211.52,2,0.02,2,0.0,2,0.0,2,1.32,2,,2,,,0.2,2,0.09,,,,,
 RF-6679,1,31, 02-25840,2,2311,101.6,101.0,22.9365,34.7604,22.9159,23.7761,22.9349,2,207.9,2,34.761,2,207.98,6,0.05,6,0.18,6,0.09,6,1.62,6,,2,,,0.25,2,0.35,,,,,
 RF-6679,1,26, 02-25835,2,2309,125.3,124.0,22.1724,34.8265,22.1475,24.0446,22.1641,2,196.0,2,34.8268,2,195.86,2,0.11,2,1.21,2,0.04,2,2.0,2,,2,,,0.09,2,0.24,,,,,
 RF-6679,1,27, 02-24661,2,2310,125.6,125.0,22.1274,34.826,22.1025,24.0569,22.1262,2,195.9,2,34.8263,2,195.78,2,0.1,2,1.21,2,0.04,2,1.97,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,25, 02-25834,2,2307,152.6,152.0,21.2109,34.8352,21.1815,24.319,21.2065,2,194.8,2,-999.0,9,194.6,2,0.16,2,1.94,2,0.03,2,2.53,2,,2,,,0.06,2,0.14,,,,,
 RF-6679,1,21, 02-25830,3,2305,203.6,202.0,19.5365,34.8698,19.4995,24.7932,19.5348,2,189.8,2,34.8683,2,190.07,2,0.26,2,3.52,2,0.01,2,3.15,2,,2,,,0.01,2,0.03,,,,,
 RF-6679,1,20, 02-25829,2,2303,252.9,251.0,17.6997,34.7889,17.6568,25.1944,17.7058,2,194.4,2,-999.0,9,194.3,2,0.36,2,5.11,2,0.01,2,4.64,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,19, 02-25828,2,2301,301.7,299.0,16.5769,34.7092,16.528,25.402,16.5761,2,193.1,2,-999.0,9,192.91,2,0.48,2,7.1,2,0.0,2,6.82,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,18, 02-24660,2,2257,406.6,403.0,13.7261,34.4829,13.668,25.8565,13.7252,2,178.7,2,34.4846,6,178.59,2,0.9,2,12.65,2,0.0,2,15.11,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,17, 02-25089,2,2254,508.7,505.0,10.725,34.3001,10.6628,26.2906,10.7262,2,156.1,2,-999.0,9,156.45,2,1.41,2,19.51,2,0.0,2,29.35,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,16, 02-26328,2,2249,602.5,598.0,8.4431,34.3124,8.3792,26.6766,8.4444,2,119.2,2,34.3125,2,118.06,2,1.98,2,27.34,2,0.0,2,56.7,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,9, 02-25247,2,2246,710.4,704.0,6.2829,34.3321,6.2185,26.9969,6.2812,2,93.1,2,-999.0,9,93.24,2,2.39,2,33.12,2,0.0,2,81.51,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,8, 02-26320,3,2241,802.8,796.0,5.6319,34.3545,5.5625,27.0969,5.6317,2,85.5,2,34.356,2,85.48,2,2.52,2,34.77,2,0.0,2,91.48,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,7, 02-26319,2,2239,900.3,892.0,5.0394,34.3789,4.9649,27.1869,5.0392,2,80.2,2,34.379,6,80.31,6,2.62,6,36.21,6,0.0,6,100.09,6,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,2, 02-26314,2,2236,977.4,969.0,4.4843,34.4094,4.407,27.2733,4.4846,2,76.3,2,34.4086,2,76.05,2,2.7,2,37.52,2,0.0,2,109.37,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6679,1,3, 02-26315,3,2236,977.6,969.0,4.481,34.4095,4.4037,27.2737,4.4788,2,76.3,2,34.409,2,76.45,2,2.7,2,37.18,2,0.0,2,108.89,2,,9,,,-999.0,9,-999.0,,,,,
 RF-6682,1,-9,       -9,0,558,0.0,11.0,28.561,34.4072,28.5604,21.765,-999.0,9,197.4,2,34.3948,2,197.89,2,0.04,2,0.12,2,0.0,2,1.5,2,8.0871,2,25,    TS,0.18,2,0.05,2,1943.1,2,2259.5,2
 RF-6682,1,36, 02-25090,2,625,11.2,11.0,28.569,34.4069,28.5664,21.7628,28.5662,2,197.5,2,34.4059,2,198.27,2,0.02,2,0.11,2,0.0,2,1.41,2,-999.0,9,-999,  -999,0.2,2,0.03,2,-999.0,9,-999.0,9
